5
4
2 1 3 4
A 2 3 1 4
B 3 1 4 2
C 4 2 2 3
D 3 2 1 4
E 2 3 3 1
3
3
3 2 1
A 2 1 3
B 2 3 1
C 1 2 3
10
9
1 6 4 3 2 8 7 5 9
A 5 8 1 1 1 5 1 6 1
B 4 7 2 2 1 4 1 7 1
C 3 6 3 7 1 2 1 8 1
D 7 5 4 8 1 3 1 5 1
E 7 4 5 6 1 3 1 4 1
F 5 3 6 3 1 2 1 3 1
G 3 2 7 2 1 1 1 2 1
H 2 6 8 1 1 5 1 8 1
I 1 7 9 9 1 6 1 9 1
J 1 2 2 5 1 8 1 4 1
1000
10
1 2 3 4 5 6 7 8 9 10
/5C 3 3 8 3 2 3 2 5 5 6 
,89 3 6 1 8 1 2 7 4 7 3 
MN/ 6 4 8 2 6 6 2 5 4 5 
6N) 5 2 5 5 2 6 8 4 2 8 
,DG 8 5 3 5 1 8 3 1 5 7 
B6) 4 3 8 8 2 6 8 1 5 5 
I// 3 1 6 5 5 7 4 7 6 5 
1L< 4 5 1 8 4 8 2 1 2 6 
>2D 4 6 7 3 8 4 3 7 6 3 
4,2 7 8 2 6 6 6 8 6 3 3 
O@- 8 8 1 1 4 2 2 7 4 6 
*6@ 7 5 6 6 3 6 8 2 1 3 
L;O 8 3 1 1 3 7 6 7 5 4 
FAI 2 7 4 4 2 1 3 1 8 4 
)A) 3 6 8 8 6 2 5 4 3 8 
G36 3 6 7 3 2 8 1 5 5 1 
E=, 7 2 8 1 7 8 4 3 5 8 
L?E 5 1 3 8 8 6 2 7 7 6 
3@4 2 5 5 7 6 2 4 5 3 4 
=2, 7 7 1 6 6 7 6 4 3 8 
-B, 1 3 3 8 4 6 4 5 7 7 
HF2 6 2 2 3 6 7 5 7 7 3 
F+( 4 8 8 7 6 3 1 5 2 1 
26O 8 7 5 8 1 2 8 4 2 4 
1*3 3 1 3 2 8 5 8 4 2 4 
@O. 4 6 6 5 2 8 8 6 8 7 
/J5 5 1 5 3 4 6 7 4 1 1 
2M) 6 4 5 6 4 8 1 7 7 3 
E?2 3 2 6 4 3 2 3 6 1 7 
HJO 8 2 7 4 5 4 5 2 2 4 
+06 2 7 5 6 7 7 7 2 3 5 
EBG 1 5 4 6 6 7 7 4 1 7 
*8E 3 8 2 2 7 5 2 8 8 5 
-4N 8 1 7 5 5 1 6 7 3 1 
E:C 3 3 8 2 1 4 3 1 5 7 
*.I 2 4 7 2 1 3 4 7 7 7 
?81 1 6 8 1 8 4 6 1 2 7 
NE; 6 1 8 4 3 6 4 6 7 3 
M,O 4 1 8 4 5 3 7 7 4 5 
.>K 6 4 7 8 6 8 4 5 5 4 
K:: 7 8 5 2 4 8 8 8 8 6 
/E0 5 8 6 2 4 6 7 4 1 8 
NL? 1 6 4 8 6 1 1 2 5 7 
43. 2 6 8 6 7 5 2 4 3 4 
L5N 2 6 1 7 1 5 2 7 8 2 
<*N 2 6 1 1 2 3 8 3 5 2 
86- 4 6 2 6 2 4 5 6 8 4 
+EE 7 1 3 2 4 4 6 8 4 5 
712 5 4 6 5 5 6 4 8 2 5 
D0O 1 5 2 2 3 8 3 4 5 8 
M4B 8 6 2 8 2 6 5 8 8 2 
(4L 4 3 7 6 5 5 1 4 4 2 
B/2 4 8 7 8 4 7 3 7 6 6 
B.7 8 6 1 1 3 2 8 3 5 1 
@M6 3 3 2 4 5 5 7 8 3 5 
-NB 2 1 1 6 6 2 4 2 5 3 
97G 4 2 8 8 8 2 1 2 4 8 
C2+ 1 4 4 6 1 8 1 6 8 8 
4G6 4 4 2 6 8 6 1 7 2 5 
(:E 8 8 5 7 1 4 4 5 2 1 
BO1 5 3 1 4 3 5 1 5 7 5 
LE( 8 2 3 8 7 4 2 3 1 2 
..H 8 3 7 3 3 5 6 6 2 7 
EA/ 4 3 2 2 3 6 1 1 4 3 
201 2 7 7 5 2 8 3 5 6 7 
D<1 3 1 3 6 4 5 3 6 1 7 
-KI 5 1 6 4 1 5 1 1 4 8 
JEA 7 3 6 7 5 5 5 1 3 1 
HEI 6 8 5 2 8 6 6 3 4 3 
G.F 2 4 2 8 1 4 8 7 7 8 
(11 6 3 6 2 1 8 7 2 7 2 
=0M 2 1 3 4 1 7 5 7 3 2 
N6O 4 7 1 8 8 5 8 7 1 3 
>.1 7 4 5 3 3 5 6 2 3 7 
;5L 2 5 4 3 1 7 7 1 5 1 
/L0 8 3 2 1 7 7 3 7 8 2 
2*J 3 6 7 2 8 5 5 1 4 3 
6I1 7 3 2 3 4 4 4 1 6 4 
O0, 6 1 1 2 4 2 2 3 4 2 
06, 6 3 2 5 8 7 2 5 8 8 
AAG 8 6 7 6 2 7 8 7 7 5 
N1L 2 6 8 4 1 8 1 3 6 1 
M*< 2 1 5 7 2 4 5 6 3 5 
;D( 3 4 3 7 7 2 3 1 5 5 
=>I 6 6 4 2 5 7 6 6 6 8 
/)6 5 6 3 8 2 5 6 1 5 5 
NL3 7 6 4 5 4 1 2 3 7 8 
.,L 6 1 3 6 4 2 7 4 6 6 
FA9 1 8 7 1 1 5 2 3 1 8 
0,; 1 7 1 6 7 1 7 2 7 5 
GL, 7 1 7 1 1 6 8 1 1 3 
=FI 5 7 5 5 1 1 5 1 1 8 
7MH 6 7 2 2 3 8 2 8 7 1 
;OL 5 2 4 1 5 5 8 8 4 8 
@3< 6 3 1 6 2 4 2 2 1 2 
GK( 5 5 8 7 6 1 5 2 5 4 
=O8 7 8 7 2 7 5 7 7 3 7 
H)N 1 7 6 4 1 6 2 5 8 3 
,@0 4 6 3 1 7 5 6 7 5 2 
8L3 2 1 2 3 7 1 7 7 1 7 
=.7 7 7 8 8 5 6 5 5 1 2 
:/O 2 3 2 4 5 3 5 6 5 2 
2A@ 1 7 4 4 8 7 8 4 6 8 
JA@ 6 3 6 1 7 7 1 7 7 5 
??. 3 5 6 3 5 6 3 8 6 7 
.C0 6 3 4 5 3 3 7 1 5 2 
*:4 4 5 7 2 2 7 7 7 5 3 
J64 2 3 6 8 5 5 3 6 1 7 
33/ 3 6 2 6 4 5 8 3 2 6 
.;= 3 7 4 2 8 6 2 1 1 5 
7?> 5 1 6 4 6 5 8 1 5 1 
AHI 3 4 8 1 5 4 5 1 2 5 
0JK 6 2 2 2 2 7 1 8 1 7 
BE) 5 5 4 7 6 7 4 1 3 6 
))L 8 1 4 3 5 4 5 7 8 7 
K9J 7 6 8 2 6 3 3 5 7 8 
>8G 4 4 7 3 4 1 1 3 7 1 
8D2 2 2 2 6 7 5 3 8 8 6 
.-+ 6 6 3 1 2 8 8 7 1 1 
)?6 7 3 5 1 6 5 5 3 2 2 
5-- 8 1 8 4 7 6 2 3 4 4 
NHK 5 7 4 2 2 2 2 4 7 8 
5LO 6 6 6 5 5 1 8 1 8 7 
K?1 4 4 1 3 8 5 2 7 1 6 
KN) 2 8 6 1 1 5 5 7 8 5 
AJJ 8 8 8 5 8 5 5 8 7 6 
8<) 7 6 2 5 8 7 5 5 8 8 
3JD 3 1 4 4 8 4 4 1 6 3 
L:F 3 4 2 4 3 3 5 1 7 7 
A7> 7 3 3 1 1 5 6 2 3 5 
<6F 1 1 8 1 4 3 2 2 5 2 
6;@ 1 3 6 5 2 6 1 3 5 2 
D@3 3 7 5 1 7 5 1 5 2 5 
,D8 3 2 4 3 1 8 5 4 5 3 
?F5 7 3 4 4 7 2 4 2 8 3 
A<5 7 4 1 7 7 5 7 7 4 7 
N2. 6 1 8 6 4 8 2 5 7 6 
.FD 7 2 3 4 7 7 7 6 2 1 
5H? 1 8 5 4 5 4 2 6 5 4 
11N 6 3 7 8 7 8 1 1 6 5 
;(M 2 4 4 4 8 5 8 7 8 3 
N:0 6 5 1 3 7 1 2 8 1 5 
M44 4 7 5 3 4 1 4 5 2 7 
1(8 6 3 2 7 1 7 4 5 2 4 
(4D 4 7 1 2 8 4 2 6 1 2 
4<J 8 1 6 5 7 7 3 4 3 7 
G0< 1 7 7 3 3 4 1 6 5 5 
=)I 7 7 6 5 2 7 3 2 8 4 
L@D 2 8 3 1 8 2 8 4 4 3 
LHH 7 4 2 3 5 1 4 8 1 5 
DGC 8 8 4 2 4 7 6 5 3 1 
7== 3 1 4 4 4 7 7 3 1 7 
NCJ 7 1 7 2 4 5 3 3 3 1 
)2J 1 1 2 5 3 7 6 8 7 4 
=B( 7 1 3 8 1 4 4 5 1 5 
I,@ 7 2 2 1 1 3 1 5 7 6 
.<< 2 8 7 1 6 3 5 4 6 3 
N5) 6 7 3 1 5 3 4 6 8 4 
FG6 2 5 4 1 3 2 4 5 2 4 
D(J 5 5 2 1 8 3 6 8 6 3 
5F- 7 1 7 2 4 1 2 3 1 8 
*@L 7 8 5 4 3 5 1 6 7 7 
?K< 4 1 4 4 3 1 3 2 3 3 
F*O 5 7 4 5 6 1 4 1 4 6 
95M 7 6 4 1 3 2 3 8 6 1 
NAD 1 3 6 4 5 7 3 3 8 3 
/2. 4 4 4 1 3 8 1 3 2 5 
D5) 5 7 1 8 6 5 7 8 1 2 
5). 6 1 5 7 4 3 7 2 6 7 
<@F 1 5 4 7 6 8 1 5 2 5 
5N@ 6 4 2 4 2 2 8 2 3 1 
F7- 4 5 7 7 8 5 3 8 5 3 
>4= 3 8 5 4 4 2 8 7 6 3 
M5@ 3 6 5 6 4 5 4 5 5 5 
C4B 7 5 6 1 1 6 1 6 7 1 
?G@ 5 5 3 7 2 8 5 3 2 6 
5GK 8 8 1 7 4 8 2 7 4 3 
,>4 3 2 8 5 6 8 8 7 1 7 
0H3 7 7 3 6 7 4 3 2 6 2 
B)= 6 6 7 1 2 2 2 8 6 3 
6?, 4 7 1 7 1 7 8 2 2 4 
9G9 6 2 2 5 1 3 5 1 3 3 
((A 1 5 4 1 4 8 1 6 8 4 
-K+ 7 1 3 4 3 3 3 7 4 8 
F*0 1 1 1 1 5 1 7 4 7 3 
F*K 4 6 6 6 7 8 6 1 4 4 
EG* 6 6 7 5 6 6 1 3 8 8 
DKL 1 1 6 1 6 5 4 3 8 5 
,D. 7 3 2 6 5 3 3 4 4 1 
@1D 2 1 5 5 7 8 7 8 7 6 
68D 2 3 6 6 2 6 7 4 7 6 
+16 4 5 4 6 8 1 7 1 4 4 
F7G 1 8 3 8 6 7 3 8 2 8 
GBL 8 4 2 3 3 5 3 4 5 3 
;,B 3 6 6 6 8 8 3 3 5 8 
0L( 2 8 4 3 5 5 1 1 2 4 
H-- 2 1 4 5 5 7 7 1 5 6 
2:( 7 3 5 3 4 1 4 3 3 3 
M3B 7 1 5 2 2 7 5 7 6 3 
N*6 4 1 8 6 3 2 7 5 7 6 
<KN 7 7 7 8 6 4 3 8 8 7 
:67 4 8 2 2 1 5 2 1 5 3 
5>( 7 4 1 1 3 1 3 3 1 7 
MD> 5 7 4 4 3 4 3 8 7 8 
6@C 8 6 8 2 4 5 4 6 6 7 
KI; 4 1 2 3 1 3 4 5 1 4 
@-N 7 2 1 8 5 6 4 5 2 5 
5L5 4 3 7 7 1 5 6 7 1 3 
H;G 1 2 2 7 2 3 1 5 6 2 
AE. 2 3 8 2 4 7 4 7 8 1 
B37 1 4 2 6 8 3 4 7 6 3 
947 1 7 7 6 1 2 1 7 4 3 
NKI 1 1 1 2 1 4 5 7 2 5 
6M4 4 3 3 4 1 4 8 1 7 5 
N/) 4 2 5 6 2 2 7 1 2 3 
H=2 8 7 5 7 3 4 7 7 7 7 
<L/ 5 8 7 3 5 1 8 1 1 3 
5=4 2 1 2 2 8 5 8 7 4 2 
=M/ 4 4 2 6 4 8 7 1 6 8 
4NF 7 5 2 8 4 2 3 1 3 6 
>BH 8 8 4 1 7 2 3 4 5 5 
F8J 3 7 3 5 2 8 2 2 7 3 
?>D 3 6 2 2 6 6 8 6 8 7 
B?+ 1 5 3 2 1 4 5 5 7 4 
FC> 6 4 6 2 5 7 4 1 8 6 
14J 1 4 2 3 8 5 8 1 7 5 
H=4 1 1 2 4 2 4 5 2 1 5 
(F1 7 1 8 2 8 2 8 2 4 1 
6== 2 6 4 7 8 7 6 3 6 4 
O99 7 7 6 1 8 2 5 6 7 8 
-@@ 6 6 1 6 8 7 8 6 3 7 
B/A 2 1 8 2 6 8 7 5 3 1 
:5. 2 8 7 4 7 3 2 3 2 1 
.N< 2 4 7 5 8 1 7 3 8 5 
F@1 2 7 1 3 5 6 4 7 5 8 
HJO 3 8 3 1 1 7 2 2 6 3 
EE/ 4 4 7 2 4 1 7 5 2 4 
0F< 5 5 6 6 4 8 6 8 6 8 
ML: 8 4 1 4 5 3 5 3 2 8 
M7= 7 1 4 2 5 2 3 5 3 6 
9+G 7 1 2 6 5 8 3 8 1 3 
:FI 8 2 2 3 6 7 3 8 2 5 
<=4 7 6 8 6 7 6 3 7 5 5 
+=6 1 2 5 6 6 8 4 6 3 2 
6NO 6 7 7 5 4 6 2 3 1 6 
*4> 7 4 1 3 5 1 7 3 6 2 
8<K 5 1 5 5 4 5 7 7 1 4 
L(- 4 3 1 8 4 4 4 2 2 8 
BM= 3 2 6 8 6 4 1 5 2 1 
C>- 4 5 7 7 8 2 3 4 6 4 
/GA 8 2 6 4 2 8 5 8 3 5 
+)E 4 8 5 2 3 4 3 3 1 7 
77( 4 6 1 5 7 5 2 1 5 8 
HEL 7 8 2 2 8 6 6 2 6 3 
J:+ 7 4 3 8 3 3 1 2 4 8 
IBE 5 7 6 8 1 7 4 4 5 4 
.HJ 6 6 7 7 3 2 2 6 6 6 
HBA 4 6 7 3 1 3 5 2 2 8 
>F1 1 8 6 2 1 1 1 4 6 3 
6A@ 5 5 1 7 1 7 3 4 3 6 
A17 7 3 6 5 7 2 1 1 2 2 
)=E 6 5 2 7 3 4 6 4 6 1 
14F 6 4 7 7 2 1 8 6 3 7 
G*@ 2 5 5 4 3 8 3 4 2 6 
1:7 2 4 1 1 3 4 3 8 5 5 
55L 8 5 1 3 7 4 7 6 3 2 
K1A 3 1 4 5 7 5 3 7 7 4 
A1= 3 7 5 6 1 2 2 4 8 6 
3GM 7 6 6 8 3 1 7 5 2 2 
@OG 7 1 1 1 1 4 2 2 1 8 
-A* 6 1 2 3 3 1 6 7 7 6 
0L, 5 4 8 2 5 1 6 3 3 2 
6JB 7 6 6 6 6 5 3 3 4 7 
8KO 5 2 8 1 3 7 2 8 8 7 
4J7 2 8 7 3 8 7 4 5 3 1 
-)L 6 5 7 2 5 5 3 5 4 4 
54G 5 6 6 7 7 3 7 3 4 3 
;(I 5 4 3 3 2 7 1 4 2 5 
.H. 7 5 7 6 5 4 1 2 3 6 
M80 7 2 5 3 3 3 2 7 8 7 
002 5 3 3 3 1 5 1 6 5 3 
=ED 1 8 6 3 7 4 7 8 1 7 
KK3 7 6 4 8 6 5 4 3 8 7 
H(B 4 3 5 2 7 1 5 5 3 2 
+A* 7 3 3 5 4 4 4 7 6 3 
5AB 8 3 4 2 2 7 3 1 1 4 
8G( 7 3 6 5 4 3 3 5 7 1 
N64 4 5 8 6 8 2 5 2 1 3 
/,) 2 3 8 6 8 8 6 4 5 1 
+,K 1 3 1 1 3 4 7 7 4 6 
03< 2 2 7 7 1 4 4 4 1 8 
A+. 8 5 7 7 4 7 5 1 2 2 
,(( 6 3 2 6 6 6 4 4 6 5 
@G) 5 6 4 8 4 4 8 1 4 2 
(C1 4 6 4 1 1 6 7 1 7 1 
342 8 6 7 3 1 3 1 4 2 8 
A.F 6 1 8 3 2 2 1 4 3 7 
OB; 7 1 8 7 5 2 6 2 5 3 
30+ 7 6 7 2 6 7 8 3 1 7 
-<N 2 3 7 5 7 7 5 5 4 8 
967 4 4 5 2 6 6 1 1 4 4 
@+* 2 7 2 7 3 7 3 5 1 4 
6M< 4 5 5 3 6 3 7 3 3 4 
CJ, 5 4 8 7 7 2 4 7 5 7 
6>D 6 1 7 4 1 2 3 2 2 4 
>(E 3 2 6 8 3 5 8 2 3 8 
B1> 2 4 6 7 7 2 7 8 6 7 
<F5 4 5 8 3 8 3 7 1 8 3 
)A; 7 5 5 3 2 2 3 5 1 7 
84B 4 2 7 5 4 2 2 1 1 3 
0OK 3 4 4 2 2 6 2 3 3 2 
:8A 4 5 7 4 7 5 1 3 8 5 
69J 7 4 4 6 2 3 3 3 7 7 
+JA 6 1 3 1 1 3 1 7 7 6 
0C? 6 8 5 3 8 1 7 3 8 7 
JCN 2 1 3 5 6 6 5 2 7 8 
NM= 1 3 1 8 7 2 8 6 6 4 
D:K 1 1 3 7 3 4 3 1 2 1 
82N 5 2 4 7 8 5 4 3 1 4 
0M( 6 6 3 4 6 6 1 7 6 4 
H*B 4 5 4 8 3 6 6 7 6 7 
0K8 2 1 5 1 6 2 7 3 7 6 
EC4 7 2 2 7 6 5 6 3 1 7 
K,* 5 3 2 8 7 1 5 3 5 1 
4CF 6 2 3 5 8 7 2 1 8 5 
BK- 5 2 1 1 2 6 8 5 5 5 
*MH 6 2 1 3 2 7 2 8 8 4 
N;M 1 8 1 6 6 5 1 6 4 3 
0;I 6 7 2 1 5 3 6 1 1 1 
(A6 7 6 2 6 6 1 5 3 5 8 
?NJ 5 8 1 2 7 7 7 3 2 3 
FIK 6 7 7 1 7 1 8 3 6 3 
<HB 1 8 5 2 7 5 1 6 7 7 
(M4 2 7 1 6 4 4 7 7 4 6 
8;- 5 8 4 7 5 5 3 1 6 7 
EO> 2 6 2 8 1 7 1 5 7 2 
4)L 1 8 7 6 3 2 6 6 1 2 
1(/ 4 5 2 5 1 3 6 7 2 1 
B>D 5 4 6 7 7 2 6 6 4 4 
0O= 5 3 8 2 5 8 8 7 4 5 
21* 8 3 1 7 8 2 1 5 5 3 
)12 1 3 5 8 2 1 5 5 6 4 
L+; 6 6 8 2 8 3 5 7 2 4 
>A; 8 7 8 8 1 7 8 3 8 5 
3:4 2 6 5 2 8 2 7 4 4 4 
C:7 6 6 4 7 7 8 3 6 1 6 
>F5 1 2 2 7 1 5 6 5 1 7 
2O: 4 8 1 5 4 3 5 6 2 2 
J*G 3 2 5 2 8 8 4 6 1 5 
1A7 1 7 7 5 7 2 7 4 5 4 
?<2 2 3 6 8 8 3 7 3 2 5 
MMK 3 5 7 3 3 7 7 1 2 6 
J@7 6 2 4 7 6 1 6 6 6 2 
O1A 8 7 1 7 3 8 6 8 8 3 
>4. 6 6 2 1 5 7 3 5 6 5 
K:H 8 3 2 5 3 7 1 6 8 1 
N58 8 8 4 6 8 7 4 5 3 1 
<C@ 2 8 1 3 3 2 4 4 8 4 
F6O 6 3 5 7 6 2 6 2 7 3 
+LA 1 8 3 5 2 6 8 6 6 1 
>AD 7 8 8 1 5 6 4 8 1 2 
);7 3 8 4 4 6 8 4 6 1 4 
05- 1 4 3 1 2 8 2 8 4 7 
1GA 4 5 6 8 7 2 2 7 4 8 
236 5 2 1 6 5 6 6 4 5 8 
C*( 1 3 4 7 2 2 5 1 5 7 
O.@ 8 2 3 6 5 8 7 7 4 8 
KH1 5 2 2 7 5 1 8 7 2 7 
6?C 1 6 3 8 3 1 4 8 6 4 
.J6 6 3 2 6 3 5 8 8 6 4 
KH2 8 3 7 7 4 8 2 7 8 1 
=9> 7 3 3 7 6 1 8 3 3 5 
@:: 7 5 6 3 2 4 2 1 1 2 
*K* 2 6 4 6 2 6 2 7 6 6 
AMF 8 8 1 6 6 2 4 8 2 5 
-@I 1 3 4 7 1 3 8 5 7 2 
F?8 8 2 6 1 8 1 4 4 5 2 
+6= 7 5 2 1 2 3 1 3 5 8 
4M= 3 1 2 1 6 2 1 2 2 2 
0,@ 1 2 3 5 1 3 4 5 4 4 
9CO 4 4 1 4 3 3 1 4 6 3 
49< 7 3 3 5 3 8 8 5 3 8 
NNH 8 5 8 8 6 6 4 6 7 5 
/GJ 7 1 2 3 7 1 2 5 5 2 
3I) 4 6 4 2 5 1 5 4 4 5 
:HB 5 8 7 1 6 1 7 4 1 8 
7O) 8 7 2 4 4 6 1 6 2 6 
4B* 1 3 3 4 4 6 5 2 4 2 
G9: 2 1 5 4 6 1 2 5 2 6 
1N/ 7 6 1 4 3 4 4 5 1 5 
,C; 6 4 7 4 6 4 1 8 4 1 
+HO 3 5 5 8 5 2 4 3 8 7 
.)K 3 1 7 2 5 4 6 3 3 6 
BD( 7 8 3 3 6 8 5 3 2 8 
*.N 8 2 2 6 6 6 4 7 2 8 
*6= 6 1 6 8 7 7 2 5 3 4 
(@+ 2 4 5 1 2 7 8 5 4 4 
)@( 8 2 2 6 1 2 8 2 3 4 
=2* 2 8 4 6 6 2 1 5 4 1 
/)G 3 4 8 2 6 6 3 7 8 8 
5D; 7 6 8 8 8 1 7 1 5 1 
-GD 7 4 4 5 2 1 5 2 8 5 
/*H 7 8 3 3 1 1 8 3 4 4 
A:) 2 2 6 6 3 7 4 8 8 7 
64D 3 1 3 7 1 7 8 2 2 8 
J3O 1 7 4 4 1 7 1 2 8 3 
=3/ 3 6 8 8 1 8 8 3 7 7 
O>6 7 5 7 8 3 7 4 4 7 5 
::H 5 2 5 4 6 6 5 8 4 3 
32F 8 3 6 3 1 4 7 6 8 5 
5N) 6 8 7 5 1 4 4 3 3 7 
H5+ 3 1 4 4 3 5 6 5 7 1 
D8> 8 5 2 5 6 2 4 6 8 6 
+I/ 7 7 4 5 5 8 1 8 2 7 
0<1 6 3 4 7 7 1 2 5 4 7 
/G* 5 7 4 3 3 4 5 1 6 8 
,3= 7 4 6 7 7 8 1 4 4 2 
0,I 8 6 6 4 8 3 7 4 3 2 
<M; 7 8 1 1 4 3 5 3 3 6 
KA+ 3 6 5 2 6 2 2 5 4 8 
;4N 7 4 1 5 3 1 7 3 1 2 
69D 7 5 5 6 8 7 7 7 1 1 
J+8 3 7 8 4 8 6 6 4 4 1 
/D: 7 7 7 2 5 2 6 1 3 5 
ND) 6 5 1 7 4 2 4 8 7 1 
4C2 6 6 2 3 4 3 8 4 8 8 
)J> 5 3 4 1 2 8 6 8 8 2 
6AD 8 2 5 8 6 4 4 3 5 8 
GN0 5 6 5 6 5 1 8 7 5 2 
<GK 3 8 3 7 5 7 6 6 3 7 
K(0 5 4 3 1 3 5 1 8 3 8 
4/@ 3 6 7 4 1 1 2 7 2 4 
LD8 8 2 4 3 8 6 6 3 5 5 
=;G 8 7 8 8 8 1 6 8 5 1 
IOC 7 7 3 4 8 4 4 8 6 7 
:,( 6 4 3 6 1 3 8 3 2 4 
M1< 8 1 4 3 2 6 3 3 7 8 
N.C 2 1 7 3 8 4 7 8 4 2 
DK* 5 1 4 6 4 4 2 4 5 3 
<6C 7 7 6 7 5 3 5 3 2 7 
9K; 4 4 5 4 8 6 4 1 2 2 
K.; 5 1 3 6 7 3 8 2 6 8 
1@@ 4 3 6 3 3 8 7 8 8 6 
J(7 7 8 5 6 6 7 6 1 7 5 
*>M 1 8 2 7 4 3 8 3 3 1 
6IJ 8 3 5 5 3 4 6 4 5 8 
AO4 3 8 5 6 7 6 7 3 8 7 
B.4 5 1 1 4 7 2 7 7 8 3 
</4 6 8 5 5 1 5 7 1 8 8 
GA6 6 1 5 1 4 8 4 8 7 5 
6*. 4 2 5 4 6 1 4 4 8 7 
J5H 1 3 2 6 2 3 7 4 5 6 
3LH 5 7 3 7 4 2 4 7 2 6 
@=1 7 2 8 6 3 6 6 6 7 1 
E04 1 2 6 8 4 2 4 7 4 6 
+/8 6 7 8 7 6 5 1 8 4 6 
<G; 6 2 1 7 6 5 5 1 1 3 
,51 3 1 3 4 4 7 5 7 8 7 
DO8 2 1 3 5 5 2 1 8 5 3 
E@O 4 5 3 6 5 7 5 4 2 1 
?+/ 6 2 6 6 3 4 7 3 4 4 
F:F 7 2 3 7 7 6 7 4 3 8 
=24 7 4 8 8 1 7 4 3 5 7 
4JK 3 7 6 8 1 5 2 7 1 3 
.92 8 3 6 3 3 1 4 1 5 3 
5>8 8 8 4 3 4 8 8 8 3 8 
